#http://hepdata.cedar.ac.uk/view/ins51151
#E : 11000.0 MeV
#RE : GAMMA P --> PI+ N
#SQRT(S) : 4.639 GeV
#x : T IN GEV**2
#y : D(SIG)/DT IN MUB/GEV**2
#xdesc	x	xlow	xhigh	y	dy+	dy-	
-8.0E-4	-8.0E-4	-8.0E-4	0.52	+0.07	-0.07
-0.0037	-0.0037	-0.0037	0.57	+0.05	-0.05
-0.0068	-0.0068	-0.0068	0.45	+0.04	-0.04
-0.011	-0.011	-0.011	0.376	+0.035	-0.035
-0.019	-0.019	-0.019	0.339	+0.015	-0.015
-0.039	-0.039	-0.039	0.296	+0.013	-0.013
-0.079	-0.079	-0.079	0.269	+0.011	-0.011
-0.167	-0.167	-0.167	0.23	+0.011	-0.011
-0.318	-0.318	-0.318	0.179	+0.009	-0.009
-0.453	-0.453	-0.453	0.136	+0.007	-0.007
-0.781	-0.781	-0.781	0.066	+0.004	-0.004
-0.984	-0.984	-0.984	0.0361	+0.0023	-0.0023
-1.28	-1.28	-1.28	0.0143	+0.001	-0.001
-1.69	-1.69	-1.69	0.0037	+5.0E-4	-5.0E-4
-2.06	-2.06	-2.06	0.001	+3.0E-4	-3.0E-4
