#http://hepdata.cedar.ac.uk/view/ins51151
#E : 5000.0 MeV
#RE : GAMMA P --> PI+ N
#SQRT(S) : 3.203 GeV
#x : T IN GEV**2
#y : D(SIG)/DT IN MUB/GEV**2
#xdesc	x	xlow	xhigh	y	dy+	dy-	
-2.0E-4	-2.0E-4	-2.0E-4	3.73	+0.46	-0.46
-0.0038	-0.0038	-0.0038	2.96	+0.15	-0.15
-0.0076	-0.0076	-0.0076	2.37	+0.1	-0.1
-0.0191	-0.0191	-0.0191	1.87	+0.09	-0.09
-0.038	-0.038	-0.038	1.76	+0.08	-0.08
-0.077	-0.077	-0.077	1.61	+0.08	-0.08
-0.164	-0.164	-0.164	1.25	+0.06	-0.06
-0.31	-0.31	-0.31	0.85	+0.04	-0.04
-0.44	-0.44	-0.44	0.59	+0.03	-0.03
-0.6	-0.6	-0.6	0.38	+0.027	-0.027
-0.77	-0.77	-0.77	0.23	+0.016	-0.016
-0.96	-0.96	-0.96	0.17	+0.016	-0.016
-1.15	-1.15	-1.15	0.106	+0.01	-0.01
