#http://hepdata.cedar.ac.uk/view/ins51151
#E : 16000.0 MeV
#RE : GAMMA P --> PI+ N
#SQRT(S) : 5.558 GeV
#x : T IN GEV**2
#y : D(SIG)/DT IN MUB/GEV**2
#xdesc	x	xlow	xhigh	y	dy+	dy-	
-0.0012	-0.0012	-0.0012	0.24	+0.05	-0.05
-0.0033	-0.0033	-0.0033	0.25	+0.03	-0.03
-0.008	-0.008	-0.008	0.187	+0.025	-0.025
-0.015	-0.015	-0.015	0.148	+0.019	-0.019
-0.023	-0.023	-0.023	0.113	+0.018	-0.018
-0.038	-0.038	-0.038	0.143	+0.01	-0.01
-0.077	-0.077	-0.077	0.124	+0.008	-0.008
-0.162	-0.162	-0.162	0.105	+0.007	-0.007
-0.306	-0.306	-0.306	0.085	+0.005	-0.005
-0.438	-0.438	-0.438	0.066	+0.005	-0.005
-0.594	-0.594	-0.594	0.048	+0.003	-0.003
-0.77	-0.77	-0.77	0.0284	+0.0023	-0.0023
-0.97	-0.97	-0.97	0.0142	+0.0011	-0.0011
-1.3	-1.3	-1.3	0.0041	+4.0E-4	-4.0E-4
-1.49	-1.49	-1.49	0.0022	+4.0E-4	-4.0E-4
-1.68	-1.68	-1.68	0.0014	+2.0E-4	-2.0E-4
-1.95	-1.95	-1.95	4.6E-4	+2.0E-4	-2.0E-4
