# GlueX 2022 gamma p -> jpsi p differential cross-sections (E_avg = 9.8583 GeV)
#i     -t_mean     dsigma/dt   error       tlow    thigh   Emean
 0     0.685195    0.822613    0.128807    0.49    0.77    10.0007
 1     0.86588     0.505214    0.0633513   0.77    1       9.84767
 2     1.20614     0.405982    0.0381708   1       1.5     9.83205
 3     1.71045     0.233359    0.0283817   1.5     2       9.83285
 4     2.23501     0.121503    0.0221656   2       2.5     9.82379
 5     2.96658     0.0756924   0.012305    2.5     3.5     9.84298
 6     3.89185     0.0261396   0.0100551   3.5     4.5     9.85798
 7     5.06099     0.0189501   0.00564002  4.5     5.75    9.75795
 8     6.36718     0.00958357  0.00519009  5.75    8.1     9.92881
