# GlueX 2022 gamma p -> jpsi p differential cross-sections (E_avg = 8.92877 GeV)
#i     -t_mean     dsigma/dt   error       tlow    thigh   Emean
 0     0.920969    0.316708    0.153269    0.77    1       9.14463
 1     1.24518     0.172021    0.0201639   1       1.5     8.96032
 2     1.71971     0.0977781   0.0413109   1.5     2       8.79964
 3     2.23974     0.0457652   0.0075976   2       2.5     8.76815
 4     2.94426     0.0185521   0.00923848  2.5     3.5     8.78035
 5     3.92286     0.0305132   0.00703479  3.5     4.5     8.94772
 6     4.95343     0.0335212   0.0179681   4.5     5.75    9.10057
